run_id,algorithm,tor_id,interface,sample_start_ns,sample_finish_ns,transmitted_bytes
920128105,conweave,131,18,2010000000,2111970000,1113047368
920128105,conweave,131,19,2010000000,2111970000,1101956883
920128105,conweave,131,20,2010000000,2111970000,1123881496
920128105,conweave,131,21,2010000000,2111970000,1115720704
920128105,conweave,131,22,2010000000,2111970000,1116227977
920128105,conweave,131,23,2010000000,2111970000,1111815072
920128105,conweave,131,24,2010000000,2111970000,1112069220
920128105,conweave,132,17,2010000000,2111970000,1120242336
920128105,conweave,132,18,2010000000,2111970000,1112382840
920128105,conweave,132,19,2010000000,2111970000,1106940664
920128105,conweave,132,20,2010000000,2111970000,1123242404
920128105,conweave,132,21,2010000000,2111970000,1112989288
920128105,conweave,132,22,2010000000,2111970000,1112959956
920128105,conweave,132,23,2010000000,2111970000,1109601664
920128105,conweave,132,24,2010000000,2111970000,1116228692
920128105,conweave,133,17,2010000000,2111970000,1107389128
920128105,conweave,133,18,2010000000,2111970000,1102898868
920128105,conweave,133,19,2010000000,2111970000,1115290260
920128105,conweave,133,20,2010000000,2111970000,1127363900
920128105,conweave,133,21,2010000000,2111970000,1111662900
920128105,conweave,133,22,2010000000,2111970000,1114965172
920128105,conweave,133,23,2010000000,2111970000,1121106584
920128105,conweave,133,24,2010000000,2111970000,1112145424
920128105,conweave,134,17,2010000000,2111970000,1113440276
920128105,conweave,134,18,2010000000,2111970000,1107258839
920128105,conweave,134,19,2010000000,2111970000,1126983578
920128105,conweave,134,20,2010000000,2111970000,1113880066
920128105,conweave,134,21,2010000000,2111970000,1118952143
920128105,conweave,134,22,2010000000,2111970000,1109640250
920128105,conweave,134,23,2010000000,2111970000,1119915150
920128105,conweave,134,24,2010000000,2111970000,1100984616
920128105,conweave,135,17,2010000000,2111970000,1110289636
920128105,conweave,135,18,2010000000,2111970000,1106939776
920128105,conweave,135,19,2010000000,2111970000,1105759123
920128105,conweave,135,20,2010000000,2111970000,1122588021
920128105,conweave,135,21,2010000000,2111970000,1123900782
920128105,conweave,135,22,2010000000,2111970000,1108268172
920128105,conweave,135,23,2010000000,2111970000,1116760423
920128105,conweave,135,24,2010000000,2111970000,1118235212
